date,Belmullet,Birr,Cahirciveen,Casement,Claremorris,Clones,Cork airport,Dublin airport,Galway,Kilkenny,Malin head,Mullingar,Roches Point,Rosslare,Shannon airport
1958-01,160.2,95.6,214.8,..,146.9,104.8,..,40,..,116.4,127.2,109.4,120.7,102.5,115.6
1958-02,75.2,85.6,130.8,..,98.3,97.1,..,101.6,..,87.6,143.2,82,107.1,119.7,92.8
1958-03,86.4,40.9,133.5,..,82.3,33,..,23.4,..,33.9,45.6,34.1,133.8,68.4,52
1958-04,30.6,37.5,40.6,..,37.4,30.4,..,29.9,..,28,52.3,25.7,13.3,18.1,30.2
1958-05,118,101.2,123.1,..,126.7,73,..,103.9,..,91.9,69,86.6,130.6,113,97.6
1958-06,144.5,85,131.2,..,126.6,150.3,..,168.5,..,79.2,127.9,131.9,98.1,107.4,63.2
1958-07,41.7,99.6,108.2,..,92.5,115.5,..,109.5,..,149,88,132.9,135.6,80.2,89.3
1958-08,149.9,153.9,143.1,..,155.3,147.9,..,140.6,..,113.9,89.1,127.1,108,108.9,107.2
1958-09,118.6,99.2,198.9,..,127,92.4,..,128.8,..,153.9,66.8,104.4,177.1,134.4,91.9
1958-10,82.5,47.9,103.8,..,64,76.9,..,52,..,54,94.4,74.2,40,45.3,72.3
1958-11,78,51.6,107.2,..,53.7,56.4,..,45.4,..,66.1,69.4,48.5,75.6,84.4,55.1
1958-12,147,88.2,150,..,154.4,102.3,..,90.3,..,107.7,141.9,99.7,122.9,98.4,72.5
1959-01,72.1,53.8,120.1,..,86.3,60.9,..,47.4,..,77.3,72,60,93,92.6,76
1959-02,30.4,28.5,46.9,..,40.4,34.7,..,13.1,..,19.3,21.2,29.3,22.5,15.4,21.2
1959-03,88.1,54.4,168.9,..,120.8,68.5,..,39.7,..,64.2,70.9,66.7,94.9,69.8,63.7
1959-04,88.2,87.2,106.8,..,79.6,81.4,..,44.1,..,80.1,82.9,69.3,58.3,62.1,72.1
1959-05,37.1,47.6,65.1,..,47,37.8,..,73.6,..,49.5,27.7,20.4,75.9,38.4,58
